================================================================================
📊 GYROSTARS - TOZALANGAN VA HAQIQIY BALANSLAR HISOBOTI
🕒 Sana va vaqt: 2026-08-21 18:44:29
👥 Jami foydalanuvchilar: 308 ta
💰 Balansga ega foydalanuvchilar: 1 ta
💳 Jami foydalanuvchilar balansi: 32 000 so'm
================================================================================

--- 🌟 BALANSGA EGA FOYDALANUVCHILAR ---
№     | Telegram ID      | Balans                 | Izoh                          
--------------------------------------------------------------------------------
1     | 8856364002       | 32 000 so'm            | 202k - 170k (Premium olingan) 

--- ⚪ 0 SO'M BALANSLI FOYDALANUVCHILAR ---
№     | Telegram ID      | Balans                 | Holat               
--------------------------------------------------------------------------------
1     | 301589746        | 0 so'm                 | Tozalangan          
2     | 350496223        | 0 so'm                 | Tozalangan          
3     | 499434186        | 0 so'm                 | Tozalangan          
4     | 631896627        | 0 so'm                 | Tozalangan          
5     | 722409832        | 0 so'm                 | Tozalangan          
6     | 724095547        | 0 so'm                 | Tozalangan          
7     | 797367680        | 0 so'm                 | Tozalangan          
8     | 964416407        | 0 so'm                 | Tozalangan          
9     | 975345198        | 0 so'm                 | Tozalangan          
10    | 978217136        | 0 so'm                 | Tozalangan          
11    | 1035100934       | 0 so'm                 | Tozalangan          
12    | 1063509684       | 0 so'm                 | Tozalangan          
13    | 1102336191       | 0 so'm                 | Tozalangan          
14    | 1164301222       | 0 so'm                 | Tozalangan          
15    | 1226061708       | 0 so'm                 | Tozalangan          
16    | 1334016230       | 0 so'm                 | Tozalangan          
17    | 1427305730       | 0 so'm                 | Tozalangan          
18    | 1439973783       | 0 so'm                 | Tozalangan          
19    | 1444350877       | 0 so'm                 | Tozalangan          
20    | 1456457534       | 0 so'm                 | Tozalangan          
21    | 1552406123       | 0 so'm                 | Tozalangan          
22    | 1597547826       | 0 so'm                 | Tozalangan          
23    | 1635929484       | 0 so'm                 | Tozalangan          
24    | 1687558877       | 0 so'm                 | Tozalangan          
25    | 1688499969       | 0 so'm                 | Tozalangan          
26    | 1721076748       | 0 so'm                 | Tozalangan          
27    | 1877809707       | 0 so'm                 | Tozalangan          
28    | 1931010314       | 0 so'm                 | Tozalangan          
29    | 1955154925       | 0 so'm                 | Tozalangan          
30    | 2011936391       | 0 so'm                 | Tozalangan          
31    | 2122409647       | 0 so'm                 | Tozalangan          
32    | 5032749207       | 0 so'm                 | Tozalangan          
33    | 5058657172       | 0 so'm                 | Tozalangan          
34    | 5063359357       | 0 so'm                 | Tozalangan          
35    | 5074595873       | 0 so'm                 | Tozalangan          
36    | 5171979764       | 0 so'm                 | Tozalangan          
37    | 5186003022       | 0 so'm                 | Tozalangan          
